order,page,route,title,component,source_file,source_bytes,source_exists,image_signals,media_signals,interaction_signals,narrative_signals,gift_signals,shared_template,design_tokens,source_fingerprint,thin_candidate,broken_candidate,note,memory,compliment,gift,message,surprise
"232","232","/romantic-flower-garden","A Garden for Sanzu","RomanticFlowerGardenPage","src/pages/RomanticFlowerGardenPage.jsx + src/components/RomanticFlowerGarden.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55795","true","7","27","54","167","35","RomanticFlowerGarden","text-rose-400 text-center rounded-3xl bg-slate-950 border-4 border-rose-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","e87afe3fd2","NO","NO","A Garden for Sanzu uses RomanticFlowerGardenPage. Memory: the room-search conversation that started in Nepalgunj. Gift: a small surprise box with one true thing inside. Voice: Samjhana, my Samjhana, Abu made the Romantic Flower Garden room around the room-search conversation that started in Nepalgunj. Keep this for the next .","the room-search conversation that started in Nepalgunj","You are the best part of every future Abu imagines.","a small surprise box with one true thing inside","Samjhana, my Samjhana, Abu made the Romantic Flower Garden room around the room-search conversation that started in Nepalgunj. Keep this for the next ","Read this slowly, Sanu. It was made for your exact heart. You are the best part of every future Abu imagines. This page is Abu’s a birthday blessing w"
"233","233","/love-wish-bottle-ocean","A Wish Bottle from Abu","LoveWishBottleOceanPage","src/pages/LoveWishBottleOceanPage.jsx + src/components/LoveWishBottleOcean.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55789","true","7","27","54","173","65","LoveWishBottleOcean","text-cyan-400 text-center rounded-3xl bg-slate-950 border-4 border-cyan-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","179e4a0338","NO","NO","A Wish Bottle from Abu uses LoveWishBottleOceanPage. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a promise map for the places we still want to see. Voice: Samjhana, my Samjhana, Abu made the Love Wish Bottle Ocean room around late-night video calls between Nepalgunj and Sakai, Osaka. Open this when you m.","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a promise map for the places we still want to see","Samjhana, my Samjhana, Abu made the Love Wish Bottle Ocean room around late-night video calls between Nepalgunj and Sakai, Osaka. Open this when you m","The secret is simple: Abu would still choose you in every version of the story. You make ordinary food, ordinary calls, and ordinary rooms feel like m"
"234","234","/couple-superlatives","The Things You Are Best At","CoupleSuperlativesPage","src/pages/CoupleSuperlativesPage.jsx + src/components/CoupleSuperlatives.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","56013","true","7","27","54","169","36","CoupleSuperlatives","text-amber-400 text-center rounded-3xl bg-slate-950 border-4 border-amber-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","949785555e","NO","NO","The Things You Are Best At uses CoupleSuperlativesPage. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a voice-note moment for the nights you miss home. Voice: Samjhana, my Bhuntu, Abu made the Couple Superlatives room around late-night video calls between Nepalgunj and Sakai, Osaka. The secret is simple: Abu.","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a voice-note moment for the nights you miss home","Samjhana, my Bhuntu, Abu made the Couple Superlatives room around late-night video calls between Nepalgunj and Sakai, Osaka. The secret is simple: Abu","The gift inside is not expensive; it is specific to you. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is A"
"235","235","/love-memory-cube-3d","A Cube of Our Favorite Moments","LoveMemoryCube3DPage","src/pages/LoveMemoryCube3DPage.jsx + src/components/LoveMemoryCube3D.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","59843","true","7","27","56","189","49","LoveMemoryCube3D","from-cyan-500 to-blue-600 from-rose-500 to-pink-600 from-amber-400 to-yellow-500 from-orange-400 to-amber-500 from-purple-500 to-indigo-600 from-red-500 to-rose-600","e774519d5b","NO","NO","A Cube of Our Favorite Moments uses LoveMemoryCube3DPage. Memory: the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Gift: a bouquet of words for your soft days. Voice: Samjhana, my Bhoot, Abu made the Love Memory Cube 3d room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The gift i.","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","You make Abu want to become gentler, steadier, and more worthy of your trust.","a bouquet of words for your soft days","Samjhana, my Bhoot, Abu made the Love Memory Cube 3d room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The gift i","This is a reminder that you are loved in the details. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s"
"236","236","/love-envelope-collection","Letters Abu Has Been Saving","LoveEnvelopeCollectionPage","src/pages/LoveEnvelopeCollectionPage.jsx + src/components/LoveEnvelopeCollection.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","56253","true","7","27","57","178","35","LoveEnvelopeCollection","text-rose-400 text-center rounded-3xl bg-slate-950 border-4 border-rose-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","b729de0a2a","NO","NO","Letters Abu Has Been Saving uses LoveEnvelopeCollectionPage. Memory: Water Park laughter and the day moving too quickly. Gift: a tiny memory ticket from Nepalgunj. Voice: Samjhana, my Babe, Abu made the Love Envelope Collection room around Water Park laughter and the day moving too quickly. A small surprise: Abu remembe.","Water Park laughter and the day moving too quickly","Your “huss” can make a long day feel close again.","a tiny memory ticket from Nepalgunj","Samjhana, my Babe, Abu made the Love Envelope Collection room around Water Park laughter and the day moving too quickly. A small surprise: Abu remembe","Keep this for the next time distance feels loud. Your “huss” can make a long day feel close again. This page is Abu’s a voice-note moment for the nigh"
"237","237","/romantic-music-box-2","A Second Song for Bhuntu","RomanticMusicBox2Page","src/pages/RomanticMusicBox2Page.jsx + src/components/RomanticMusicBox2.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","56192","true","7","27","57","165","35","RomanticMusicBox2","text-amber-400 text-center rounded-3xl bg-slate-950 border-4 border-amber-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","44015dfaee","NO","NO","A Second Song for Bhuntu uses RomanticMusicBox2Page. Memory: Chau-Chau, Panipuri, momo, and the foods that became our language. Gift: a voice-note moment for the nights you miss home. Voice: Samjhana, my Babe, Abu made the Romantic Music Box 2 room around Chau-Chau, Panipuri, momo, and the foods that became our language. The secret is simp.","Chau-Chau, Panipuri, momo, and the foods that became our language","Your kindness is one of the reasons Abu keeps choosing you.","a voice-note moment for the nights you miss home","Samjhana, my Babe, Abu made the Romantic Music Box 2 room around Chau-Chau, Panipuri, momo, and the foods that became our language. The secret is simp","The gift inside is not expensive; it is specific to you. Your kindness is one of the reasons Abu keeps choosing you. This page is Abu’s a small surpri"
"238","238","/couple-future-home-3d","The Home Abu Imagines","CoupleFutureHome3DPage","src/pages/CoupleFutureHome3DPage.jsx + src/components/CoupleFutureHome3D.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55785","true","7","27","54","166","35","CoupleFutureHome3D","text-blue-400 text-center rounded-3xl bg-slate-950 border-4 border-blue-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","4876c8a123","NO","NO","The Home Abu Imagines uses CoupleFutureHome3DPage. Memory: the future light-blue scooter ride toward Bardiya. Gift: a bouquet of words for your soft days. Voice: Samjhana, my Sanu, Abu made the Couple Future Home 3d room around the future light-blue scooter ride toward Bardiya. The gift inside is not expensive;.","the future light-blue scooter ride toward Bardiya","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","a bouquet of words for your soft days","Samjhana, my Sanu, Abu made the Couple Future Home 3d room around the future light-blue scooter ride toward Bardiya. The gift inside is not expensive;","This is a reminder that you are loved in the details. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s "
"239","239","/love-neon-sign-gallery","A Sign with Your Name on It","LoveNeonSignGalleryPage","src/pages/LoveNeonSignGalleryPage.jsx + src/components/LoveNeonSignGallery.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55723","true","7","27","54","174","35","LoveNeonSignGallery","text-pink-400 text-center rounded-3xl bg-slate-950 border-4 border-pink-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","6fb60f3846","NO","NO","A Sign with Your Name on It uses LoveNeonSignGalleryPage. Memory: the future light-blue scooter ride toward Bardiya. Gift: a Bageshwori memory pressed between two pages. Voice: Samjhana, my Bhuntu, Abu made the Love Neon Sign Gallery room around the future light-blue scooter ride toward Bardiya. This is a reminder that you ar.","the future light-blue scooter ride toward Bardiya","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","a Bageshwori memory pressed between two pages","Samjhana, my Bhuntu, Abu made the Love Neon Sign Gallery room around the future light-blue scooter ride toward Bardiya. This is a reminder that you ar","Open this when you miss Abu. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s a quiet “open when” note "
"240","240","/bhuntu-photo-mosaic-2","Pieces of Samjhana in One Picture","BhuntuPhotoMosaic2Page","src/pages/BhuntuPhotoMosaic2Page.jsx + src/components/BhuntuPhotoMosaic2.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55849","true","7","27","54","172","35","BhuntuPhotoMosaic2","text-purple-400 text-center rounded-3xl bg-slate-950 border-4 border-purple-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","65f2bca280","NO","NO","Pieces of Samjhana in One Picture uses BhuntuPhotoMosaic2Page. Memory: Bageshwori Temple and the prayers we carried home. Gift: a private letter from Abu. Voice: Samjhana, my Runchi, Abu made the Bhuntu Photo Mosaic 2 room around Bageshwori Temple and the prayers we carried home. This is a reminder that you are.","Bageshwori Temple and the prayers we carried home","Your smile makes Abu forget what he was worried about.","a private letter from Abu","Samjhana, my Runchi, Abu made the Bhuntu Photo Mosaic 2 room around Bageshwori Temple and the prayers we carried home. This is a reminder that you are","Open this when you miss Abu. Your smile makes Abu forget what he was worried about. This page is Abu’s a promise folded into a keepsake card for Bhoot"
"241","241","/couple-relationship-cert","The Certificate of Being Samjhana","CoupleRelationshipCertPage","src/pages/CoupleRelationshipCertPage.jsx + src/components/CoupleRelationshipCert.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/mediaUtils.js + src/utils/whatsappHelper.js","55911","true","7","27","54","167","35","CoupleRelationshipCert","text-amber-400 text-center rounded-3xl bg-slate-950 border-4 border-amber-400 shadow-2xl rounded-2xl border-2 border-amber-300 shadow-xl bg-black/40","1d469a217d","NO","NO","The Certificate of Being Samjhana uses CoupleRelationshipCertPage. Memory: dropping you at the Language Institute before Japan. Gift: a tiny memory ticket from Nepalgunj. Voice: Samjhana, my Sanzu, Abu made the Couple Relationship Cert room around dropping you at the Language Institute before Japan. A small surprise: Abu remem.","dropping you at the Language Institute before Japan","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","a tiny memory ticket from Nepalgunj","Samjhana, my Sanzu, Abu made the Couple Relationship Cert room around dropping you at the Language Institute before Japan. A small surprise: Abu remem","Keep this for the next time distance feels loud. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This pag"
